timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
68585512,1.09278e-05,-0.00502989,-0.000229492,0.998209,-0.00174812,-0.030511,-0.0515132,0.0,0.0,0.0,0.0,0
68636477,9.50264e-05,-0.00492004,-0.00023399,0.998205,-0.0017532,-0.03063,-0.0515185,0.0,0.0,0.0,0.0,0
68687500,0.000171807,-0.00479913,-0.000241498,0.998201,-0.00175601,-0.0307567,-0.0515243,0.0,0.0,0.0,0.0,0
68742495,0.000196585,-0.00452744,-0.000252162,0.998197,-0.00175729,-0.0308793,-0.0515303,0.0,0.0,0.0,0.0,0
68791511,0.000191668,-0.00336426,-0.000261535,0.998194,-0.0017574,-0.0309764,-0.0515362,0.0,0.0,0.0,0.0,0
68841526,0.000172253,-0.00197503,-0.00026855,0.998191,-0.00175619,-0.0310422,-0.0515423,0.0,0.0,0.0,0.0,0
68898488,0.000142936,-0.000703747,-0.000272606,0.99819,-0.00175368,-0.031078,-0.0515491,0.0,0.0,0.0,0.0,0
68952479,0.000111542,0.000284727,-0.000272462,0.998189,-0.00175043,-0.0310842,-0.0515561,0.0,0.0,0.0,0.0,0
69004476,8.41047e-05,0.00108381,-0.000268579,0.998189,-0.00174706,-0.0310688,-0.0515625,0.0,0.0,0.0,0.0,0
69054537,5.81453e-05,0.00182712,-0.000260507,0.99819,-0.00174306,-0.0310315,-0.0515694,0.0,0.0,0.0,0.0,0
69109477,3.70847e-05,0.00254489,-0.00024893,0.998192,-0.00173871,-0.0309755,-0.0515761,0.0,0.0,0.0,0.0,0
69161498,2.23742e-05,0.00320885,-0.000235717,0.998193,-0.00173429,-0.0309073,-0.051582,0.0,0.0,0.0,0.0,0
69215392,1.13929e-05,0.00394368,-0.0002194,0.998196,-0.00172891,-0.0308155,-0.0515881,0.0,0.0,0.0,0.0,0
69267291,5.11435e-06,0.00468582,-0.000201772,0.998199,-0.00172277,-0.030704,-0.0515938,0.0,0.0,0.0,0.0,0
69317570,2.83245e-06,0.00531411,-0.000185061,0.998203,-0.00171638,-0.0305849,-0.0515986,0.0,0.0,0.0,0.0,0
69372505,3.53677e-06,0.00601837,-0.000167172,0.998207,-0.00170861,-0.0304388,-0.0516035,0.0,0.0,0.0,0.0,0
69422591,6.55203e-06,0.00669,-0.00015146,0.998211,-0.00170054,-0.0302871,-0.0516075,0.0,0.0,0.0,0.0,0
69476550,1.15798e-05,0.00739444,-0.000135854,0.998217,-0.00169077,-0.0301048,-0.0516116,0.0,0.0,0.0,0.0,0
69528522,1.67574e-05,0.00797201,-0.000124207,0.998221,-0.00168169,-0.0299368,-0.0516147,0.0,0.0,0.0,0.0,0
69580500,2.16003e-05,0.00857889,-0.000115903,0.998226,-0.00167365,-0.0297891,-0.0516171,0.0,0.0,0.0,0.0,0
69631477,2.68496e-05,0.00931294,-0.000108777,0.99823,-0.00166489,-0.0296291,-0.0516194,0.0,0.0,0.0,0.0,0
69683040,3.32265e-05,0.0102553,-0.000101512,0.998236,-0.0016542,-0.0294349,-0.0516218,0.0,0.0,0.0,0.0,0
69737541,4.1485e-05,0.011301,-9.51965e-05,0.998243,-0.00163989,-0.0291767,-0.0516246,0.0,0.0,0.0,0.0,0
69789477,4.69717e-05,0.0118374,-9.14331e-05,0.998251,-0.00162442,-0.0288993,-0.0516272,0.0,0.0,0.0,0.0,0
69843482,5.14611e-05,0.0121487,-9.00572e-05,0.99826,-0.00160699,-0.0285884,-0.05163,0.0,0.0,0.0,0.0,0
69895572,5.47294e-05,0.0125891,-9.10124e-05,0.998269,-0.00159038,-0.0282929,-0.0516327,0.0,0.0,0.0,0.0,0
69945738,5.5955e-05,0.0130106,-9.39082e-05,0.998277,-0.00157314,-0.0279866,-0.0516353,0.0,0.0,0.0,0.0,0
70000482,5.58579e-05,0.0134071,-9.88662e-05,0.998286,-0.00155392,-0.0276447,-0.0516383,0.0,0.0,0.0,0.0,0
70051477,5.455e-05,0.0138871,-0.000104668,0.998295,-0.00153564,-0.0273182,-0.0516412,0.0,0.0,0.0,0.0,0
70105497,5.24295e-05,0.0142333,-0.00011193,0.998305,-0.00151526,-0.0269529,-0.0516445,0.0,0.0,0.0,0.0,0
70160484,4.89013e-05,0.0145955,-0.000119638,0.998315,-0.00149453,-0.0265793,-0.051648,0.0,0.0,0.0,0.0,0
70208126,4.50711e-05,0.0148968,-0.00012702,0.998324,-0.00147505,-0.0262261,-0.0516515,0.0,0.0,0.0,0.0,0
70261477,4.15799e-05,0.0150651,-0.000134212,0.998333,-0.00145535,-0.0258674,-0.0516551,0.0,0.0,0.0,0.0,0
70312448,3.68564e-05,0.0151981,-0.000141021,0.998343,-0.00143558,-0.0255053,-0.0516589,0.0,0.0,0.0,0.0,0
70368590,3.08494e-05,0.0155168,-0.000147434,0.998352,-0.00141399,-0.0251071,-0.0516632,0.0,0.0,0.0,0.0,0
70420547,2.58387e-05,0.0157751,-0.000152401,0.998362,-0.00139386,-0.0247329,-0.0516673,0.0,0.0,0.0,0.0,0
70469659,2.18745e-05,0.0161369,-0.000156218,0.998371,-0.00137342,-0.0243509,-0.0516715,0.0,0.0,0.0,0.0,0
70526480,1.7261e-05,0.0163303,-0.000159057,0.998381,-0.00135099,-0.0239294,-0.0516762,0.0,0.0,0.0,0.0,0
